reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,5,2
0.1,0.000100000100005,0,5,2
0.2,0.000400001600013,0,5,2
0.3,0.000900008100146,0,5,2
0.4,0.001600025600816,0,5,2
0.5,0.002500062503124,0,5,2
0.6,0.003600129609332,0,5,2
0.7,0.004900240123533,0,5,2
0.8,0.006400409652436,0,5,2
0.9,0.00810065620631,0,5,2
1,0.010001000200049,0,5,2
1.1,0.012101464454418,0,5,2
1.2,0.014402074197413,0,5,2
1.3,0.016902857065773,0,5,2
1.4,0.019603843106644,0,5,2
1.5,0.022505064779409,0,5,2
1.6,0.025606556957591,0,5,2
1.7,0.028908356931005,0,5,2
1.8,0.032410504407956,0,5,2
1.9,0.03611304151768,0,5,2
2,0.040016012812814,0,5,2
2.1,0.044119465272161,0,5,2
2.2,0.04842344830346,0,5,2
2.3,0.052928013746389,0,5,2
2.4,0.057633215875725,0,5,2
2.5,0.062539111404554,0,5,2
2.6,0.067645759487768,0,5,2
2.7,0.072953221725598,0,5,2
2.8,0.078461562167377,0,5,2
2.9,0.084170847315377,0,5,2
3,0.090081146128881,0,5,2
3.1,0.096192530028333,0,5,2
3.2,0.102505072899703,0,5,2
3.3,0.109018851098945,0,5,2
3.4,0.115733943456682,0,5,2
3.5,0.122650431282942,0,5,2
3.6,0.129768398372164,0,5,2
3.7,0.137087931008281,0,5,2
3.8,0.144609117969999,0,5,2
3.9,0.152332050536209,0,5,2
4,0.160256822491554,0,5,2
4.1,0.168383530132196,0,5,2
4.2,0.176712272271715,0,5,2
4.3,0.185243150247132,0,5,2
4.4,0.19397626792518,0,5,2
4.5,0.202911731708653,0,5,2
4.6,0.212049650542951,0,5,2
4.7,0.221390135922839,0,5,2
4.8,0.230933301899263,0,5,2
4.9,0.240679265086428,0,5,2
5,0.250628144669001,0,5,2
5.1,0.260780062409502,0,5,2
5.2,0.271135142655829,0,5,2
5.3,0.281693512348994,0,5,2
5.4,0.292455301031012,0,5,2
5.5,0.303420640852956,0,5,2
5.6,0.31458966658321,0,5,2
5.7,0.325962515615863,0,5,2
5.8,0.337539327979329,0,5,2
5.9,0.349320246345066,0,5,2
6,0.361305416036572,0,5,2
6.1,0.373494985038491,0,5,2
6.2,0.385889104005905,0,5,2
6.3,0.398487926273859,0,5,2
6.4,0.411291607867021,0,5,2
6.5,0.424300307509526,0,5,2
6.6,0.43751418663507,0,5,2
6.7,0.450933409397102,0,5,2
6.8,0.464558142679294,0,5,2
6.9,0.478388556106133,0,5,2
7,0.492424822053749,0,5,2
7.1,0.506667115660918,0,5,2
7.2,0.521115614840305,0,5,2
7.3,0.535770500289807,0,5,2
7.4,0.55063195550423,0,5,2
7.5,0.565700166787032,0,5,2
7.6,0.5809753232624,0,5,2
7.7,0.596457616887427,0,5,2
7.8,0.612147242464573,0,5,2
7.9,0.62804439765425,0,5,2
8,0.644149282987733,0,5,2
8.1,0.660462101880199,0,5,2
8.2,0.676983060643991,0,5,2
8.3,0.693712368502126,0,5,2
8.4,0.710650237602039,0,5,2
8.5,0.727796883029477,0,5,2
8.6,0.745152522822693,0,5,2
8.7,0.762717377986832,0,5,2
8.8,0.780491672508553,0,5,2
8.9,0.79847563337087,0,5,2
9,0.816669490568252,0,5,2
9.1,0.835073477121924,0,5,2
9.2,0.853687829095456,0,5,2
9.3,0.872512785610539,0,5,2
9.4,0.891548588863039,0,5,2
9.5,0.910795484139285,0,5,2
9.6,0.930253719832621,0,5,2
9.7,0.949923547460195,0,5,2
9.8,0.969805221679977,0,5,2
9.9,0.989899000308114,0,5,2
10,1.01020514433644,0,5,2
10.1,1.03072391795035,0,5,2
10.2,1.05145558854687,0,5,2
10.3,1.072400426753,0,5,2
10.4,1.09355870644441,0,5,2
10.5,1.11493070476426,0,5,2
10.6,1.13651670214249,0,5,2
10.7,1.1583169823152,0,5,2
10.8,1.18033183234446,0,5,2
10.9,1.20256154263833,0,5,2
11,1.2250064069712,0,5,2
11.1,1.24766672250445,0,5,2
11.2,1.27054278980732,0,5,2
11.3,1.29363491287818,0,5,2
11.4,1.31694339916607,0,5,2
