reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,1.5,2
0.1,0,0,1.5,2
0.2,0,0,1.5,2
0.3,0,0,1.5,2
0.4,0,0,1.5,2
0.5,0,0,1.5,2
0.6,0,0,1.5,2
0.7,0,0,1.5,2
0.8,0,0,1.5,2
0.9,0,0,1.5,2
1,0,0,1.5,2
1.1,0,0,1.5,2
1.2,0,0,1.5,2
1.3,0,0,1.5,2
1.4,0,0,1.5,2
1.5,0,0,1.5,2
1.6,0,0,1.5,2
1.7,0,0,1.5,2
1.8,0,0,1.5,2
1.9,0,0,1.5,2
2,0,0,1.5,2
2.1,0,0,1.5,2
2.2,0,0,1.5,2
2.3,0,0,1.5,2
2.4,0,0,1.5,2
2.5,0,0,1.5,2
2.6,0,0,1.5,2
2.7,0,0,1.5,2
2.8,0,0,1.5,2
2.9,0,0,1.5,2
3,0,0,1.5,2
3.1,0,0,1.5,2
3.2,0,0,1.5,2
3.3,0,0,1.5,2
3.4,0,0,1.5,2
3.5,0,0,1.5,2
3.6,0,0,1.5,2
3.7,0,0,1.5,2
3.8,0,0,1.5,2
3.9,0,0,1.5,2
4,0,0,1.5,2
4.1,0,0,1.5,2
4.2,0,0,1.5,2
4.3,0,0,1.5,2
4.4,0,0,1.5,2
4.5,0,0,1.5,2
4.6,0,0,1.5,2
4.7,0,0,1.5,2
4.8,0,0,1.5,2
4.9,0,0,1.5,2
5,0,0,1.5,2
5.1,0,0,1.5,2
5.2,0,0,1.5,2
5.3,0,0,1.5,2
5.4,0,0,1.5,2
5.5,0,0,1.5,2
5.6,0,0,1.5,2
5.7,0,0,1.5,2
5.8,0,0,1.5,2
5.9,0,0,1.5,2
6,0,0,1.5,2
6.1,0,0,1.5,2
6.2,0,0,1.5,2
6.3,0,0,1.5,2
6.4,0,0,1.5,2
6.5,0,0,1.5,2
6.6,0,0,1.5,2
6.7,0,0,1.5,2
6.8,0,0,1.5,2
6.9,0,0,1.5,2
7,0,0,1.5,2
7.1,0,0,1.5,2
7.2,0,0,1.5,2
7.3,0,0,1.5,2
7.4,0,0,1.5,2
7.5,0,0,1.5,2
7.6,0,0,1.5,2
7.7,0,0,1.5,2
7.8,0,0,1.5,2
7.9,0,0,1.5,2
8,0,0,1.5,2
8,0.1,0,1.5,2
8,0.2,0,1.5,2
8,0.3,0,1.5,2
8,0.4,0,1.5,2
8,0.5,0,1.5,2
8,0.6,0,1.5,2
8,0.7,0,1.5,2
8,0.8,0,1.5,2
8,0.9,0,1.5,2
8,1,0,1.5,2
8,1.1,0,1.5,2
8,1.2,0,1.5,2
8,1.3,0,1.5,2
8,1.4,0,1.5,2
8,1.5,0,1.5,2
8,1.6,0,1.5,2
8,1.7,0,1.5,2
8,1.8,0,1.5,2
8,1.9,0,1.5,2
8,2,0,1.5,2
8,2.1,0,1.5,2
8,2.2,0,1.5,2
8,2.3,0,1.5,2
8,2.4,0,1.5,2
8,2.5,0,1.5,2
8,2.6,0,1.5,2
8,2.7,0,1.5,2
8,2.8,0,1.5,2
8,2.9,0,1.5,2
8,3,0,1.5,2
8,3.1,0,1.5,2
8,3.2,0,1.5,2
8,3.3,0,1.5,2
8,3.4,0,1.5,2
8,3.5,0,1.5,2
8,3.6,0,1.5,2
8,3.7,0,1.5,2
8,3.8,0,1.5,2
8,3.9,0,1.5,2
8,4,0,1.5,2
8,4.1,0,1.5,2
8,4.2,0,1.5,2
8,4.3,0,1.5,2
8,4.4,0,1.5,2
8,4.5,0,1.5,2
8,4.6,0,1.5,2
8,4.7,0,1.5,2
8,4.8,0,1.5,2
8,4.9,0,1.5,2
8,5,0,1.5,2
8,5.1,0,1.5,2
8,5.2,0,1.5,2
8,5.3,0,1.5,2
8,5.4,0,1.5,2
8,5.5,0,1.5,2
8,5.6,0,1.5,2
8,5.7,0,1.5,2
8,5.8,0,1.5,2
8,5.9,0,1.5,2
8,6,0,1.5,2
8,6.1,0,1.5,2
8,6.2,0,1.5,2
8,6.3,0,1.5,2
8,6.4,0,1.5,2
8,6.5,0,1.5,2
8,6.6,0,1.5,2
8,6.7,0,1.5,2
8,6.8,0,1.5,2
8,6.9,0,1.5,2
8,7,0,1.5,2
8,7.1,0,1.5,2
8,7.2,0,1.5,2
8,7.3,0,1.5,2
8,7.4,0,1.5,2
8,7.5,0,1.5,2
8,7.6,0,1.5,2
8,7.7,0,1.5,2
8,7.8,0,1.5,2
8,7.9,0,1.5,2
8,8,0,1.5,2
8,8.1,0,1.5,2
8,8.2,0,1.5,2
8,8.3,0,1.5,2
8,8.4,0,1.5,2
8,8.5,0,1.5,2
8,8.6,0,1.5,2
8,8.7,0,1.5,2
8,8.8,0,1.5,2
8,8.9,0,1.5,2
8,9,0,1.5,2
8,9.1,0,1.5,2
8,9.2,0,1.5,2
8,9.3,0,1.5,2
8,9.4,0,1.5,2
8,9.5,0,1.5,2
8,9.6,0,1.5,2
8,9.7,0,1.5,2
8,9.8,0,1.5,2
8,9.9,0,1.5,2
