reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,1.5,2
0.1,0.07492970727,0,1.5,2
0.2,0.1494381325,0,1.5,2
0.3,0.2231063621,0,1.5,2
0.4,0.2955202067,0,1.5,2
0.5,0.3662725291,0,1.5,2
0.6,0.4349655341,0,1.5,2
0.7,0.5012130047,0,1.5,2
0.8,0.5646424734,0,1.5,2
0.9,0.6248973167,0,1.5,2
1,0.68163876,0,1.5,2
1.1,0.7345477822,0,1.5,2
1.2,0.7833269096,0,1.5,2
1.3,0.8277018882,0,1.5,2
1.4,0.8674232256,0,1.5,2
1.5,0.9022675941,0,1.5,2
1.6,0.932039086,0,1.5,2
1.7,0.956570315,0,1.5,2
1.8,0.9757233578,0,1.5,2
1.9,0.989390529,0,1.5,2
2,0.9974949866,0,1.5,2
2.1,0.9999911646,0,1.5,2
2.2,0.9968650285,0,1.5,2
2.3,0.9881341545,0,1.5,2
2.4,0.9738476309,0,1.5,2
2.5,0.9540857816,0,1.5,2
2.6,0.928959715,0,1.5,2
2.7,0.8986106989,0,1.5,2
2.8,0.8632093666,0,1.5,2
2.9,0.8229547573,0,1.5,2
3,0.7780731969,0,1.5,2
3.1,0.7288170259,0,1.5,2
3.2,0.6754631806,0,1.5,2
3.3,0.6183116354,0,1.5,2
3.4,0.5576837174,0,1.5,2
3.5,0.4939202986,0,1.5,2
3.6,0.4273798802,0,1.5,2
3.7,0.3584365767,0,1.5,2
3.8,0.2874780123,0,1.5,2
3.9,0.214903142,0,1.5,2
4,0.1411200081,0,1.5,2
4.1,0.06654344608,0,1.5,2
4.2,-0.008407247367,0,1.5,2
4.3,-0.08331067221,0,1.5,2
4.4,-0.1577456941,0,1.5,2
4.5,-0.2312938124,0,1.5,2
4.6,-0.3035415127,0,1.5,2
4.7,-0.3740825922,0,1.5,2
4.8,-0.4425204433,0,1.5,2
4.9,-0.5084702835,0,1.5,2
5,-0.5715613187,0,1.5,2
5.1,-0.6314388284,0,1.5,2
5.2,-0.6877661592,0,1.5,2
5.3,-0.7402266185,0,1.5,2
5.4,-0.7885252544,0,1.5,2
5.5,-0.8323905146,0,1.5,2
5.6,-0.8715757724,0,1.5,2
5.7,-0.9058607142,0,1.5,2
5.8,-0.9350525776,0,1.5,2
5.9,-0.9589872352,0,1.5,2
6,-0.9775301177,0,1.5,2
6.1,-0.9905769702,0,1.5,2
6.2,-0.9980544388,0,1.5,2
6.3,-0.9999204821,0,1.5,2
6.4,-0.9961646088,0,1.5,2
6.5,-0.9868079357,0,1.5,2
6.6,-0.9719030694,0,1.5,2
6.7,-0.9515338105,0,1.5,2
6.8,-0.9258146823,0,1.5,2
6.9,-0.8948902872,0,1.5,2
7,-0.8589344934,0,1.5,2
7.1,-0.8181494574,0,1.5,2
7.2,-0.7727644876,0,1.5,2
7.3,-0.7230347546,0,1.5,2
7.4,-0.6692398573,0,1.5,2
7.5,-0.61168225,0,1.5,2
7.6,-0.5506855426,0,1.5,2
7.7,-0.4865926807,0,1.5,2
7.8,-0.4197640178,0,1.5,2
7.9,-0.3505752889,0,1.5,2
8,-0.2794154982,0,1.5,2
8.1,-0.2066847319,0,1.5,2
8.2,-0.1327919089,0,1.5,2
8.3,-0.05815248139,0,1.5,2
8.4,0.01681390048,0,1.5,2
8.5,0.09168574849,0,1.5,2
8.6,0.1660421059,0,1.5,2
8.7,0.2394649141,0,1.5,2
8.8,0.3115413635,0,1.5,2
8.9,0.381866214,0,1.5,2
9,0.4500440738,0,1.5,2
9.1,0.515691622,0,1.5,2
9.2,0.5784397644,0,1.5,2
9.3,0.637935708,0,1.5,2
9.4,0.6938449449,0,1.5,2
9.5,0.7458531332,0,1.5,2
9.6,0.7936678638,0,1.5,2
9.7,0.837020305,0,1.5,2
