reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,2,2
0.01,0.001256637,0,2,2
0.02,0.002513274,0,2,2
0.03,0.00376991,0,2,2
0.04,0.005026545,0,2,2
0.05,0.006283178,0,2,2
0.06,0.00753981,0,2,2
0.07,0.00879644,0,2,2
0.08,0.010053067,0,2,2
0.09,0.011309692,0,2,2
0.1,0.012566313,0,2,2
0.11,0.013822931,0,2,2
0.12,0.015079546,0,2,2
0.13,0.016336156,0,2,2
0.14,0.017592761,0,2,2
0.15,0.018849362,0,2,2
0.16,0.020105958,0,2,2
0.17,0.021362548,0,2,2
0.18,0.022619132,0,2,2
0.19,0.02387571,0,2,2
0.2,0.025132282,0,2,2
0.21,0.026388847,0,2,2
0.22,0.027645404,0,2,2
0.23,0.028901954,0,2,2
0.24,0.030158496,0,2,2
0.25,0.031415029,0,2,2
0.26,0.032671554,0,2,2
0.27,0.03392807,0,2,2
0.28,0.035184577,0,2,2
0.29,0.036441074,0,2,2
0.3,0.037697562,0,2,2
0.31,0.038954038,0,2,2
0.32,0.040210504,0,2,2
0.33,0.04146696,0,2,2
0.34,0.042723403,0,2,2
0.35,0.043979835,0,2,2
0.36,0.045236255,0,2,2
0.37,0.046492663,0,2,2
0.38,0.047749058,0,2,2
0.39,0.049005439,0,2,2
0.4,0.050261808,0,2,2
0.41,0.051518162,0,2,2
0.42,0.052774503,0,2,2
0.43,0.054030829,0,2,2
0.44,0.05528714,0,2,2
0.45,0.056543436,0,2,2
0.46,0.057799716,0,2,2
0.47,0.059055981,0,2,2
0.48,0.060312229,0,2,2
0.49,0.061568461,0,2,2
0.5,0.062824676,0,2,2
0.51,0.064080874,0,2,2
0.52,0.065337054,0,2,2
0.53,0.066593216,0,2,2
0.54,0.06784936,0,2,2
0.55,0.069105486,0,2,2
0.56,0.070361592,0,2,2
0.57,0.071617679,0,2,2
0.58,0.072873747,0,2,2
0.59,0.074129795,0,2,2
0.6,0.075385822,0,2,2
0.61,0.076641828,0,2,2
0.62,0.077897814,0,2,2
0.63,0.079153778,0,2,2
0.64,0.080409721,0,2,2
