reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,1,2
0.1,0,0,1,2
0.2,0,0,1,2
0.3,0,0,1,2
0.4,0,0,1,2
0.5,0,0,1,2
0.6,0,0,1,2
0.7,0,0,1,2
0.8,0,0,1,2
0.9,0,0,1,2
1,0,0,1,2
1.1,0,0,1,2
1.2,0,0,1,2
1.3,0,0,1,2
1.4,0,0,1,2
1.5,0,0,1,2
1.6,0,0,1,2
1.7,0,0,1,2
1.8,0,0,1,2
1.9,0,0,1,2
2,0,0,1,2
2.1,0,0,1,2
2.2,0,0,1,2
2.3,0,0,1,2
2.4,0,0,1,2
2.5,0,0,1,2
2.6,0,0,1,2
2.7,0,0,1,2
2.8,0,0,1,2
2.9,0,0,1,2
3,0,0,1,2
3.1,0,0,1,2
3.2,0,0,1,2
3.3,0,0,1,2
3.4,0,0,1,2
3.5,0,0,1,2
3.6,0,0,1,2
3.7,0,0,1,2
3.8,0,0,1,2
3.9,0,0,1,2
4,0,0,1,2
4.1,0,0,1,2
4.2,0,0,1,2
4.3,0,0,1,2
4.4,0,0,1,2
4.5,0,0,1,2
4.6,0,0,1,2
4.7,0,0,1,2
4.8,0,0,1,2
4.9,0,0,1,2
5,0,0,1,2
5.1,0,0,1,2
5.2,0,0,1,2
5.3,0,0,1,2
5.4,0,0,1,2
5.5,0,0,1,2
5.6,0,0,1,2
5.7,0,0,1,2
5.8,0,0,1,2
5.9,0,0,1,2
6,0,0,1,2
6.1,0,0,1,2
6.2,0,0,1,2
6.3,0,0,1,2
6.4,0,0,1,2
6.5,0,0,1,2
6.6,0,0,1,2
6.7,0,0,1,2
6.8,0,0,1,2
6.9,0,0,1,2
7,0,0,1,2
7.1,0,0,1,2
7.2,0,0,1,2
7.3,0,0,1,2
7.4,0,0,1,2
7.5,0,0,1,2
7.6,0,0,1,2
7.7,0,0,1,2
7.8,0,0,1,2
7.9,0,0,1,2
8,0,0,1,2
8.1,1,0,1,2
8.2,1,0,1,2
8.3,1,0,1,2
8.4,1,0,1,2
8.5,1,0,1,2
8.6,1,0,1,2
8.7,1,0,1,2
8.8,1,0,1,2
8.9,1,0,1,2
9,1,0,1,2
9.1,1,0,1,2
9.2,1,0,1,2
9.3,1,0,1,2
9.4,1,0,1,2
9.5,1,0,1,2
9.6,1,0,1,2
9.7,1,0,1,2
9.8,1,0,1,2
9.9,1,0,1,2
10,1,0,1,2
10.1,1,0,1,2
10.2,1,0,1,2
10.3,1,0,1,2
10.4,1,0,1,2
10.5,1,0,1,2
10.6,1,0,1,2
10.7,1,0,1,2
10.8,1,0,1,2
10.9,1,0,1,2
11,1,0,1,2
11.1,1,0,1,2
11.2,1,0,1,2
11.3,1,0,1,2
11.4,1,0,1,2
11.5,1,0,1,2
11.6,1,0,1,2
11.7,1,0,1,2
11.8,1,0,1,2
11.9,1,0,1,2
12,1,0,1,2
12.1,1,0,1,2
12.2,1,0,1,2
12.3,1,0,1,2
12.4,1,0,1,2
12.5,1,0,1,2
12.6,1,0,1,2
12.7,1,0,1,2
12.8,1,0,1,2
12.9,1,0,1,2
13,1,0,1,2
13.1,1,0,1,2
13.2,1,0,1,2
13.3,1,0,1,2
13.4,1,0,1,2
13.5,1,0,1,2
13.6,1,0,1,2
13.7,1,0,1,2
13.8,1,0,1,2
13.9,1,0,1,2
14,1,0,1,2
14.1,1,0,1,2
14.2,1,0,1,2
14.3,1,0,1,2
14.4,1,0,1,2
14.5,1,0,1,2
14.6,1,0,1,2
14.7,1,0,1,2
14.8,1,0,1,2
14.9,1,0,1,2
15,1,0,1,2
15.1,1,0,1,2
15.2,1,0,1,2
15.3,1,0,1,2
15.4,1,0,1,2
15.5,1,0,1,2
15.6,1,0,1,2
15.7,1,0,1,2
15.8,1,0,1,2
15.9,1,0,1,2
16,1,0,1,2
16.1,1,0,1,2
16.2,1,0,1,2
16.3,1,0,1,2
16.4,1,0,1,2
16.5,1,0,1,2
16.6,1,0,1,2
16.7,1,0,1,2
16.8,1,0,1,2
16.9,1,0,1,2
17,1,0,1,2
17.1,1,0,1,2
17.2,1,0,1,2
17.3,1,0,1,2
17.4,1,0,1,2
17.5,1,0,1,2
17.6,1,0,1,2
17.7,1,0,1,2
17.8,1,0,1,2
17.9,1,0,1,2
