t,calc_time[msec],x_g,y_g,yaw_g,twist_x,twist_yaw,x_f,y_f,yaw_f,F_norm
0,0.090924,0,0,0,2,0.125008,0,0,-0.125008,1.22357e-11
0.1,0.271128,0.199995,0.00125007,0.0125008,1.96745,0.106574,0.19859,-0.0236952,-0.112501,0.882484
0.2,0.22293,0.396708,0.00475774,0.0231582,1.93615,0.0929882,0.394207,-0.0447387,-0.101824,1.65189
0.3,0.136413,0.590247,0.010141,0.0324571,1.90601,0.0833285,0.58691,-0.0635208,-0.0924934,2.32133
0.4,0.120967,0.78072,0.0171199,0.0407899,1.87694,0.0768469,0.77677,-0.0803302,-0.0841167,2.90222
0.5,0.129916,0.968226,0.0254943,0.0484746,1.84887,0.0729978,0.963864,-0.0953762,-0.0763793,3.40459
0.6,0.123184,1.15286,0.035127,0.0557744,1.82174,0.0714279,1.14827,-0.108805,-0.0690156,3.83729
0.7,0.14671,1.33471,0.0459319,0.0629172,1.79548,0.071957,1.33006,-0.120712,-0.0617982,4.20813
0.8,0.133693,1.51386,0.0578657,0.0701129,1.77005,0.0745684,1.50932,-0.131148,-0.0545167,4.52404
0.9,0.139196,1.69039,0.070924,0.0775697,1.74539,0.0794148,1.68611,-0.140125,-0.0469633,4.79113
1,0.140694,1.86434,0.0851402,0.0855112,1.72146,0.0868438,1.8605,-0.147618,-0.0389204,5.01477
1.1,0.13415,2.0358,0.100587,0.0941955,1.69823,0.0974569,2.03256,-0.15356,-0.030125,5.19957
1.2,0.130234,2.20478,0.117384,0.103941,1.67566,0.11221,2.20234,-0.157838,-0.0202584,5.34944
1.3,0.136587,2.37135,0.135704,0.115162,1.65374,0.132593,2.36991,-0.160281,-0.00890683,5.4675
1.4,0.132097,2.53549,0.155795,0.128421,1.63247,0.16093,2.5353,-0.160647,0.00448429,5.55591
1.5,0.14599,2.69722,0.178004,0.144514,1.61185,0.200913,2.69856,-0.15859,0.0207177,5.61551
1.6,0.140512,2.85648,0.202817,0.164606,1.59195,0.258545,2.85969,-0.15362,0.040958,5.64528
1.7,0.140717,3.01317,0.230931,0.19046,1.57291,0.34388,3.01867,-0.145034,0.0669702,5.64131
1.8,0.138006,3.16707,0.263357,0.224848,1.55504,0.474154,3.17542,-0.131799,0.101524,5.5956
1.9,0.137212,3.31778,0.301608,0.272264,1.53905,0.679472,3.32971,-0.112366,0.149103,5.49648
2,0.137961,3.4645,0.347997,0.340211,1.52658,1.01116,3.48103,-0.084339,0.217222,5.33415
2.1,0.142999,3.60559,0.40612,0.441327,1.52167,1.54141,3.62819,-0.0439517,0.318517,5.07094
2.2,0.143549,3.73764,0.481443,0.595468,1.5338,2.27957,3.76846,0.0146391,0.472818,4.19415
2.3,0.146391,3.85376,0.581141,0.823425,1.57849,2.92325,3.89589,0.0993926,0.700942,2.22052
2.4,0.146192,3.94272,0.710848,1.11575,1.6613,3.1444,4.00001,0.217266,0.993399,6.10284
2.5,0.146891,3.99127,0.869012,1.43019,1.76662,3.0257,4.06747,0.368326,1.30793,11.3694
2.6,0.146942,3.98939,1.04499,1.73276,1.87245,2.72181,4.08705,0.543221,1.61053,15.4368
2.7,0.147663,3.93458,1.22343,2.00494,1.96277,2.34697,4.0544,0.72701,1.88271,18.0201
2.8,0.491923,3.83197,1.39022,2.23964,2.03104,1.97223,3.9729,0.90507,2.11741,19.3368
2.9,0.15901,3.69118,1.53616,2.43686,2.07765,1.63393,3.85095,1.06708,2.31463,19.7093
3,0.154485,3.52264,1.65725,2.60026,2.10615,1.34529,3.69843,1.20782,2.47803,19.4279
3.1,0.149247,3.3354,1.75333,2.73478,2.12078,1.10667,3.5243,1.32601,2.61255,18.7196
3.2,0.152798,3.13639,1.82631,2.84545,2.12526,0.912593,3.33567,1.42271,2.72322,17.7524
3.3,0.151888,2.93057,1.87897,2.93671,2.12249,0.755682,3.1378,1.50008,2.81448,16.646
3.4,0.153952,2.72132,1.91427,3.01228,2.11462,0.628639,2.93443,1.56062,2.89005,15.484
3.5,0.150293,2.51091,1.93493,3.07514,2.10318,0.525042,2.7281,1.60678,2.95291,14.3234
3.6,0.168264,2.30078,1.94338,3.12765,2.08924,0.439531,2.52057,1.64079,3.00542,13.2025
3.7,0.151592,2.09188,1.9417,3.1716,2.07356,0.367756,2.31303,1.6646,3.04937,12.1461
3.8,0.155103,1.88478,1.93167,3.20838,2.05667,0.306204,2.10625,1.67989,3.08615,11.1701
3.9,0.145808,1.67981,1.91481,3.239,2.03894,0.252027,1.90075,1.68814,3.11677,10.2836
4,0.148962,1.47716,1.89242,3.2642,2.02061,0.202849,1.69688,1.69064,3.14197,9.49181
4.1,0.144651,1.27688,1.86568,3.28448,2.00186,0.156616,1.49483,1.68851,3.16225,8.79621
4.2,0.144267,1.07896,1.83562,3.30015,1.9828,0.11142,1.29473,1.68281,3.17792,8.19651
4.3,0.145525,0.883349,1.80322,3.31129,1.9635,0.0653129,1.09663,1.6745,3.18906,7.69169
4.4,0.147587,0.689929,1.76943,3.31782,1.94399,0.0161192,0.900529,1.66455,3.19559,7.27926
4.5,0.144632,0.498569,1.7352,3.31943,1.92425,-0.0388604,0.706422,1.6539,3.1972,6.95618
4.6,0.15227,0.309112,1.70153,3.31554,1.90428,-0.103324,0.514274,1.64358,3.19331,6.71975
4.7,0.144957,0.121392,1.66954,3.30521,1.88402,-0.182777,0.324053,1.63471,3.18298,6.56839
4.8,0.153213,-0.0647648,1.64055,3.28693,1.86346,-0.286063,0.135751,1.62864,3.1647,6.5034
4.9,0.15064,-0.249507,1.6162,3.25833,1.84261,-0.428428,-0.050581,1.627,3.1361,6.53305
5,0.145875,-0.432917,1.59867,3.21549,1.8217,-0.637884,-0.234761,1.63196,3.09326,6.68523
5.1,0.158136,-0.614896,1.59102,3.1517,1.8015,-0.967314,-0.416314,1.64655,3.02947,7.04998
5.2,0.170411,-0.794844,1.59791,3.05497,1.7837,-1.50325,-0.59408,1.67533,2.93274,7.88456
5.3,0.153245,-0.970719,1.62661,2.90464,1.76786,-2.27088,-0.765143,1.72527,2.78241,9.07666
5.4,0.151729,-1.1364,1.68718,2.67755,1.74444,-2.9863,-0.922203,1.80559,2.55532,7.98138
5.5,0.148912,-1.27852,1.78722,2.37892,1.71774,-3.42501,-1.05106,1.92221,2.25669,4.32255
5.6,0.146568,-1.38017,1.92465,2.03642,1.70616,-3.60684,-1.1352,2.071,1.91419,4.25858
5.7,0.149249,-1.42793,2.08748,1.67574,1.71942,-3.58425,-1.16275,2.23845,1.55351,9.30206
5.8,0.153051,-1.41524,2.25804,1.31731,1.7554,-3.41069,-1.12936,2.40618,1.19508,14.1301
5.9,0.142942,-1.34337,2.41726,0.976244,1.80473,-3.13888,-1.03861,2.55545,0.854015,17.7864
6,0.143736,-1.22066,2.54858,0.662356,1.85675,-2.81668,-0.900803,2.67083,0.540127,20.1596
6.1,0.15174,-1.06019,2.64078,0.380689,1.90352,-2.48227,-0.730298,2.74278,0.258459,21.4176
6.2,0.157808,-0.876546,2.68896,0.132461,1.9409,-2.1618,-0.542145,2.76821,0.0102319,21.8118
6.3,0.140116,-0.682892,2.69368,-0.0837191,1.96783,-1.8702,-0.34936,2.74928,-0.205949,21.5816
6.4,0.139149,-0.489473,2.65904,-0.270739,1.98503,-1.61383,-0.161609,2.69132,-0.392969,20.9228
6.5,0.138802,-0.303305,2.59078,-0.432122,1.99402,-1.39345,0.0148488,2.60087,-0.554351,19.9851
6.6,0.147944,-0.128626,2.49495,-0.571467,1.99645,-1.20671,0.17654,2.48445,-0.693697,18.8794
6.7,0.152782,0.0323829,2.37711,-0.692138,1.99382,-1.04978,0.32198,2.34786,-0.814368,17.6866
6.8,0.143174,0.178929,2.24205,-0.797116,1.98738,-0.918414,0.450966,2.19594,-0.919346,16.4649
6.9,0.14787,0.311083,2.09371,-0.888958,1.97811,-0.808509,0.564047,2.0326,-1.01119,15.2553
7,0.150635,0.429407,1.93526,-0.969809,1.96677,-0.716367,0.662168,1.8609,-1.09204,14.0861
7.1,0.146687,0.534716,1.7692,-1.04145,1.95392,-0.638783,0.746446,1.68324,-1.16367,12.9765
7.2,0.139914,0.627932,1.59752,-1.10532,1.93999,-0.573045,0.818033,1.50147,-1.22755,11.9388
7.3,0.140482,0.709994,1.42176,-1.16263,1.92531,-0.516879,0.878054,1.31702,-1.28486,10.9803
7.4,0.13887,0.781815,1.24315,-1.21432,1.91009,-0.468388,0.927562,1.13098,-1.33655,10.1047
7.5,0.151009,0.844257,1.06265,-1.26115,1.89453,-0.425977,0.967531,0.94422,-1.38338,9.31327
7.6,0.153842,0.898127,0.881032,-1.30375,1.87875,-0.388286,0.998855,0.757389,-1.42598,8.60548
7.7,0.159721,0.944173,0.6989,-1.34258,1.86283,-0.354121,1.02235,0.571001,-1.46481,7.97938
7.8,0.150601,0.983097,0.516738,-1.37799,1.84686,-0.322387,1.03877,0.385453,-1.50022,7.43214
7.9,0.146392,1.01556,0.334935,-1.41023,1.83087,-0.292014,1.04883,0.201049,-1.53246,6.96023
8,0.149079,1.04219,0.153802,-1.43943,1.8149,-0.261867,1.05317,0.0180196,-1.56166,6.55968
8.1,0.149077,1.0636,-0.0264151,-1.46562,1.79895,-0.230619,1.05245,-0.163463,-1.58785,6.22637
8.2,0.149805,1.08042,-0.205518,-1.48868,1.78304,-0.196551,1.04731,-0.343281,-1.61091,5.95627
8.3,0.151295,1.0933,-0.383354,-1.50834,1.76716,-0.157213,1.03841,-0.52136,-1.63057,5.74603
8.4,0.152516,1.10294,-0.559805,-1.52406,1.7513,-0.108782,1.02647,-0.69767,-1.64629,5.59383
8.5,0.148582,1.11017,-0.734784,-1.53494,1.73545,-0.0447484,1.01231,-0.872226,-1.65717,5.50129
8.6,0.151569,1.11601,-0.908231,-1.53941,1.71967,0.0470113,0.996952,-1.04509,-1.66164,5.47849
8.7,0.157477,1.12181,-1.0801,-1.53471,1.70421,0.191409,0.981754,-1.21638,-1.65694,5.56136
8.8,0.155279,1.12958,-1.25034,-1.51557,1.68998,0.445204,0.968717,-1.3863,-1.6378,5.89193
8.9,0.151504,1.14267,-1.41882,-1.47105,1.68034,0.942209,0.961159,-1.55512,-1.59328,7.14347
9,0.150854,1.16724,-1.58498,-1.37683,1.68191,1.84097,0.965295,-1.72304,-1.49906,10.8007
9.1,0.157701,1.21463,-1.74611,-1.19273,1.68059,2.65201,0.992681,-1.88875,-1.31496,10.5344
9.2,0.15436,1.29653,-1.8923,-0.927531,1.67283,3.0948,1.05615,-2.04383,-1.04976,6.24567
9.3,0.145744,1.41582,-2.00862,-0.618051,1.67662,3.27813,1.16036,-2.17383,-0.74028,2.17512
9.4,0.142803,1.56582,-2.08185,-0.290238,1.69962,3.26948,1.30031,-2.26479,-0.412468,5.74109
9.5,0.140409,1.73366,-2.10324,0.0367095,1.73959,3.12258,1.4643,-2.30649,-0.08552,10.2222
9.6,0.139612,1.90371,-2.07003,0.348968,1.78885,2.88596,1.63712,-2.29427,0.226738,13.6725
9.7,0.14321,2.06072,-1.98563,0.637564,1.83905,2.60196,1.80326,-2.22963,0.515334,15.9931
9.8,0.13993,2.19267,-1.85827,0.89776,1.88398,2.30397,1.94975,-2.11932,0.77553,17.3293
9.9,0.150792,2.29218,-1.69879,1.12816,1.92035,2.01505,2.06796,-1.97315,1.00593,17.8921
10,0.15187,2.35646,-1.51817,1.32966,1.94725,1.74879,2.15378,-1.80172,1.20743,17.8841
10.1,0.153803,2.38623,-1.32599,1.50454,1.96527,1.5115,2.20676,-1.6146,1.38231,17.4743
10.2,0.153298,2.3844,-1.12965,1.65569,1.97564,1.30457,2.22888,-1.41951,1.53346,16.7946
10.3,0.151144,2.35487,-0.934451,1.78615,1.97978,1.12649,2.22338,-1.22216,1.66392,15.9453
10.4,0.15376,2.30177,-0.743835,1.8988,1.979,0.974293,2.19392,-1.0265,1.77657,15.0008
10.5,0.151696,2.229,-0.559886,1.99623,1.97441,0.844458,2.14412,-0.835046,1.874,14.0158
10.6,0.150585,2.14002,-0.383697,2.08067,1.96693,0.733425,2.07728,-0.649323,1.95844,13.0298
10.7,0.15567,2.03782,-0.215695,2.15402,1.95725,0.637862,1.99632,-0.470113,2.03179,12.0709
10.8,0.153288,1.92489,-0.0558716,2.2178,1.94592,0.554763,1.90373,-0.297714,2.09557,11.1589
10.9,0.158408,1.80335,0.0960592,2.27328,1.93334,0.481457,1.80161,-0.132097,2.15105,10.3071
11,0.159106,1.67493,0.240556,2.32142,1.91982,0.415554,1.69177,0.0269795,2.19919,9.52472
11.1,0.157406,1.5411,0.378184,2.36298,1.90559,0.354862,1.57572,0.179898,2.24075,8.81728
11.2,0.150304,1.4031,0.509577,2.39847,1.8908,0.297282,1.45477,0.327137,2.27624,8.18829
11.3,0.147044,1.26198,0.63542,2.42819,1.87558,0.240645,1.33005,0.469245,2.30596,7.63972
11.4,0.150155,1.1187,0.756441,2.45226,1.86001,0.182516,1.20259,0.606834,2.33003,7.17256
11.5,0.159964,0.974098,0.873426,2.47051,1.84414,0.119854,1.07333,0.740577,2.34828,6.78758
11.6,0.170217,0.828991,0.987233,2.48249,1.828,0.0484636,0.943183,0.871227,2.36027,6.4858
11.7,0.1602,0.684208,1.09883,2.48734,1.81164,-0.0380462,0.813087,0.999644,2.36511,6.27025
11.8,0.152988,0.540664,1.20935,2.48354,1.79514,-0.150299,0.68409,1.12684,2.36131,6.14859
11.9,0.152021,0.399466,1.3202,2.46851,1.77876,-0.307538,0.55746,1.25408,2.34628,6.14236
12,0.149528,0.262112,1.43321,2.43775,1.7632,-0.547032,0.434909,1.383,2.31552,6.3172
12.1,0.150706,0.130879,1.55094,2.38305,1.75035,-0.940785,0.319009,1.51584,2.26082,6.89543
12.2,0.166225,0.00967843,1.67713,2.28897,1.74322,-1.58101,0.2141,1.65587,2.16674,8.35153
12.3,0.163235,-0.0941954,1.8169,2.13087,1.73691,-2.34693,0.128042,1.80726,2.00864,9.27585
12.4,0.156465,-0.168435,1.97349,1.89618,1.72104,-2.90816,0.0734479,1.97173,1.77395,6.99648
12.5,0.156843,-0.199134,2.14221,1.60536,1.70694,-3.22121,0.0635505,2.14295,1.48313,3.10525
12.6,0.156965,-0.177692,2.31081,1.28324,1.70753,-3.32977,0.105389,2.30767,1.16101,3.6663
12.7,0.148254,-0.103144,2.46356,0.950263,1.7271,-3.27798,0.198004,2.45019,0.828033,8.11622
12.8,0.15313,0.0183167,2.58526,0.622465,1.76219,-3.10937,0.333397,2.55617,0.500236,12.0619
12.9,0.158071,0.175035,2.66427,0.311528,1.80542,-2.86591,0.49858,2.61549,0.189299,15.0046
13,0.185535,0.35242,2.6944,0.024937,1.84929,-2.58462,0.678315,2.62376,-0.0972926,16.9245
13.1,0.163829,0.535833,2.6752,-0.233525,1.88832,-2.29447,0.858018,2.58234,-0.355754,17.9649
13.2,0.157233,0.71294,2.6109,-0.462971,1.9197,-2.01535,1.02596,2.49693,-0.585201,18.317
